"","pp_code","treatment","trial","block","pred_prob","pred_gain","pred_loss","pred_hotcold","uncens1_cens2","NrCards_perTrial","QneedAverage","Qtype1_average_5items","Qtype2_average_5items","Qtype1_average_4items","Qtype2_average_4items","Qtype1_average_3items"
"159",12,"A","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"160",12,"A","b3p1g1l1","bl3","OneLossCard","+10p","-250p","hot",2,3,30.75,65.8,57.2,71,51.75,71
"161",12,"A","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"162",12,"A","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","hot",1,0,30.75,65.8,57.2,71,51.75,71
"163",12,"A","b1p1g2l1","bl1","OneLossCard","+30p","-250p","hot",1,11,30.75,65.8,57.2,71,51.75,71
"164",12,"A","b1p1g2l2","bl1","OneLossCard","+30p","-750p","hot",1,8,30.75,65.8,57.2,71,51.75,71
"165",12,"A","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","hot",1,1,30.75,65.8,57.2,71,51.75,71
"166",12,"A","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","hot",2,2,30.75,65.8,57.2,71,51.75,71
"167",12,"A","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","hot",1,6,30.75,65.8,57.2,71,51.75,71
"168",12,"A","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","hot",1,2,30.75,65.8,57.2,71,51.75,71
"169",12,"A","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","cold",2,5,35.125,59.2,48.8,65,43.5,65.6666666666667
"170",12,"A","b2p1g1l1","bl2","OneLossCard","+10p","-250p","cold",1,4,35.125,59.2,48.8,65,43.5,65.6666666666667
"171",12,"A","b2p1g1l2","bl2","OneLossCard","+10p","-750p","cold",1,0,35.125,59.2,48.8,65,43.5,65.6666666666667
"172",12,"A","b2p1g2l1","bl2","OneLossCard","+30p","-250p","cold",1,14,35.125,59.2,48.8,65,43.5,65.6666666666667
"173",12,"A","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","cold",2,5,35.125,59.2,48.8,65,43.5,65.6666666666667
"174",12,"A","b3p1g1l1","bl3","OneLossCard","+10p","-250p","cold",1,11,35.125,59.2,48.8,65,43.5,65.6666666666667
"175",12,"A","b3p1g1l2","bl3","OneLossCard","+10p","-750p","cold",1,0,35.125,59.2,48.8,65,43.5,65.6666666666667
"176",12,"A","b3p1g2l1","bl3","OneLossCard","+30p","-250p","cold",2,16,35.125,59.2,48.8,65,43.5,65.6666666666667
"177",12,"A","b3p1g2l2","bl3","OneLossCard","+30p","-750p","cold",1,6,35.125,59.2,48.8,65,43.5,65.6666666666667
"178",12,"A","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","cold",1,0,35.125,59.2,48.8,65,43.5,65.6666666666667
"179",12,"A","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","cold",1,0,35.125,59.2,48.8,65,43.5,65.6666666666667
"180",12,"A","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","cold",1,2,35.125,59.2,48.8,65,43.5,65.6666666666667
"181",12,"A","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","cold",1,2,35.125,59.2,48.8,65,43.5,65.6666666666667
"182",12,"A","b2p1g2l2","bl2","OneLossCard","+30p","-750p","cold",1,4,35.125,59.2,48.8,65,43.5,65.6666666666667
"183",12,"A","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","cold",1,4,35.125,59.2,48.8,65,43.5,65.6666666666667
"184",12,"A","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","cold",1,0,35.125,59.2,48.8,65,43.5,65.6666666666667
"185",12,"A","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","cold",1,3,35.125,59.2,48.8,65,43.5,65.6666666666667
"186",12,"A","b1p1g2l2","bl1","OneLossCard","+30p","-750p","cold",1,11,35.125,59.2,48.8,65,43.5,65.6666666666667
"187",12,"A","b1p1g1l1","bl1","OneLossCard","+10p","-250p","cold",2,10,35.125,59.2,48.8,65,43.5,65.6666666666667
"188",12,"A","b1p1g1l2","bl1","OneLossCard","+10p","-750p","cold",1,8,35.125,59.2,48.8,65,43.5,65.6666666666667
"189",12,"A","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","cold",1,4,35.125,59.2,48.8,65,43.5,65.6666666666667
"190",12,"A","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","cold",2,4,35.125,59.2,48.8,65,43.5,65.6666666666667
